map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,2720,2739,2729.5121794871793,1.3105372186645603e-09,1.2744741950723167e-09,1.189529008518564e-09,0.9724822591234823,0.9076651861369464,0.9333488375973492
summed,,,2740,2759,2749.512090909091,1.2973877259506043e-09,1.2679453197591225e-09,1.1776626425972925e-09,0.9773063937614261,0.9077183474465288,0.9287960799610969
summed,,,2760,2779,2769.5120036101084,1.2845098453686167e-09,1.2362759043765464e-09,1.1558292252501527e-09,0.9624495357774167,0.8998212270755026,0.9349282155855307
summed,,,2780,2799,2789.511917562724,1.2718956258451225e-09,1.2336666398288392e-09,1.1489531380661599e-09,0.9699432994032968,0.9033391692834288,0.9313319343915852
summed,,,2800,2819,2809.5118327402133,1.2595374126841722e-09,1.2207199249497127e-09,1.1425436285111058e-09,0.9691811554436193,0.9071136887281946,0.9359588593248961
summed,,,2820,2839,2829.511749116608,1.2474279176743262e-09,1.2031979913056424e-09,1.1232126626570356e-09,0.9645431004533352,0.9004228995861545,0.9335227209265773
summed,,,2840,2859,2849.5116666666668,1.2355610038890098e-09,1.195934700956581e-09,1.1031172927304332e-09,0.9679284933664122,0.8928068215638877,0.9223892340008975
summed,,,2860,2879,2869.5115853658535,1.22393043195609e-09,1.1832158967362459e-09,1.0966003996866632e-09,0.9667346001399981,0.8959662829316798,0.9267965404382237
summed,,,2880,2899,2889.5115051903113,1.2125295283104746e-09,1.1747428195477714e-09,1.0841641573473766e-09,0.9688364630465084,0.8941342309890292,0.9228949003193192
summed,,,2900,2919,2909.5114261168383,1.2013518373485504e-09,1.1614893032322247e-09,1.0658818283142242e-09,0.9668186014479284,0.8872353586828352,0.9176854451849524
summed,,,2920,2939,2929.511348122867,1.1903911310606529e-09,1.1463894207139352e-09,1.0591732620636099e-09,0.9630359222287622,0.8897691140557085,0.923921001821519
