segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
0,1609.520652173913,6.95061156007428e-08,9.2205260850336e-08,3.15952656239202e-08,2.772703820254384e-08,1.4573933751293333e-07,1.3382023675166254e-07,-1.6708125269025333e-10
0,1629.520398773006,6.78360380056072e-08,9.019901595459924e-08,3.004053640343217e-08,2.6564310836909688e-08,1.4507911664769975e-07,1.3351266965340193e-07,-1.7608248685092964e-10
0,1649.5201515151516,6.627097595746377e-08,8.825154827488428e-08,2.8600970124789737e-08,2.544087448609477e-08,1.4491209197705455e-07,1.3319892166200186e-07,-1.5865174400581644e-10
0,1669.5199101796406,6.470913553162876e-08,8.638050231701769e-08,2.699907529047837e-08,2.4366661878260342e-08,1.4393203527475355e-07,1.328790898242121e-07,-1.426382269821519e-10
0,1689.519674556213,6.351848233122203e-08,8.460517555174318e-08,2.6363340029473006e-08,2.335383051737593e-08,1.4346160004172653e-07,1.3255432180805629e-07,-1.5559771777329197e-10
0,1709.5194444444444,6.2033743969657e-08,8.289240455270669e-08,2.4960671271007025e-08,2.238252842941219e-08,1.4336979238990462e-07,1.3222432096686008e-07,-1.5919925634228983e-10
0,1729.519219653179,6.077294749943354e-08,8.123101186585546e-08,2.37985699616411e-08,2.1445255941826495e-08,1.4295315017024315e-07,1.3188868137503334e-07,-1.436257419015332e-10
0,1749.519,5.940603917364266e-08,7.963527513097935e-08,2.328062158330616e-08,2.055031639458475e-08,1.422504417875103e-07,1.3154785566936817e-07,-1.3037596385286956e-10
0,1769.5187853107345,5.8520669372312844e-08,7.812160815136521e-08,2.192301645635545e-08,1.970786185143069e-08,1.418586752923539e-07,1.3120273294126835e-07,-1.4261035440429807e-10
0,1789.5185754189945,5.717766808103549e-08,7.665901769823387e-08,2.1173842486549593e-08,1.8899233617649455e-08,1.4160773339825574e-07,1.308524454010809e-07,-1.453907453107475e-10
0,1809.5183701657459,5.591251910635952e-08,7.5239282941279e-08,2.012537145049152e-08,1.811892137348063e-08,1.4072515670359247e-07,1.3049684226470334e-07,-1.315953629437542e-10
0,1829.518169398907,5.503149269491514e-08,7.387429825102488e-08,1.9416664002797422e-08,1.7373801942730756e-08,1.4078278166268022e-07,1.3013638348751006e-07,-1.1866193710181035e-10
0,1849.517972972973,5.395853128269978e-08,7.258060501194172e-08,1.8284335662087238e-08,1.667386754362169e-08,1.4010990116979224e-07,1.2977169033113019e-07,-1.2935659604713397e-10
0,1869.5177807486632,5.2940761468338245e-08,7.13316705901079e-08,1.7427364745398994e-08,1.6003109293592405e-08,1.3981762479930963e-07,1.29401623007832e-07,-1.3455614503149422e-10
0,1889.5175925925926,5.2044937444243956e-08,7.011516762031261e-08,1.6923497654891942e-08,1.53538940681656e-08,1.3932915643298035e-07,1.290261206720008e-07,-1.214906606306172e-10
0,1909.5174083769634,5.136222552071955e-08,6.894524849182952e-08,1.6035833678402682e-08,1.473432752733309e-08,1.383925066299618e-07,1.2864586823621215e-07,-1.0928844142770701e-10
0,1929.5172279792746,5.047820037968942e-08,6.78352799922417e-08,1.575895976812833e-08,1.4152241202089298e-08,1.379625593025392e-07,1.282609101977149e-07,-1.1660358977497136e-10
0,1949.5170512820512,4.954577180559071e-08,6.676519664295942e-08,1.4661665053700847e-08,1.3595567834247454e-08,1.3727630683146339e-07,1.2787034399052037e-07,-1.21969936986213e-10
0,1969.5168781725888,4.87912678547092e-08,6.57240179879736e-08,1.4324335709339345e-08,1.305769210032876e-08,1.368270375113942e-07,1.2747388911257226e-07,-1.1434949504641177e-10
0,1989.5167085427136,4.818267431305323e-08,6.472190002123735e-08,1.3538310506417997e-08,1.254434444533394e-08,1.366018621897988e-07,1.270725676985086e-07,-1.0684284965203711e-10
1,30.608333333333334,1.61686119481474e-05,1.6323654423434117e-05,1.1743894730258595e-05,1.1724120403143019e-05,2.345010513189053e-06,2.1718351052809327e-06,5.4790589167143717e-08
1,50.165,1.315670141890521e-05,1.3150147578518658e-05,9.585745836943174e-06,9.425901947309207e-06,1.9593403612931515e-06,1.7562118689139944e-06,3.276824033259285e-08
1,69.975,1.072633496406092e-05,1.0818293931083158e-05,7.73535230088572e-06,7.737587890535924e-06,1.6144552003971942e-06,1.4513485341653506e-06,3.29505796421844e-08
