zbin,massbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
1,1,11991,0.64,0.6799999999999999,104,95.9390051543584,9.74143339887643,1.0840220808280436,0.827495761206082
1,1,11991,0.6799999999999999,0.72,209,189.7946988280244,13.64131494218725,1.1011898714272192,1.4078775582389877
1,1,11991,0.72,0.76,331,322.03489892584383,17.666791139476636,1.0278389115715703,0.5074549760269453
1,1,11991,0.76,0.8,463,468.2652905404037,21.174530170203035,0.9887557531024191,-0.24866150502895615
1,1,11991,0.8,0.8400000000000001,623,597.8101378457309,23.80123044511165,1.0421368935713324,1.0583428538436201
1,1,11991,0.8400000000000001,0.8800000000000001,740,759.8965928277179,26.659485349172535,0.9738167100425087,-0.7463232154380444
1,1,11991,0.8800000000000001,0.9199999999999999,1188,1187.0445049376663,32.68341601757546,1.000804936174136,0.029234859104688534
1,1,11991,0.9199999999999999,0.96,2020,2020.8401121705983,40.96696097837807,0.999584275784344,-0.020507065951065637
1,1,11991,0.96,1.0,2676,2640.8924348115443,45.338657490934416,1.0132938262557298,0.774340642871386
1,1,11991,1.0,1.04,2150,2191.934288022229,42.21360787867982,0.980868820634187,-0.9933831797259859
1,1,11991,1.04,1.08,1073,1081.337722063428,31.304309625945837,0.9922894375241827,-0.2663442242635306
1,1,11991,1.08,1.12,306,311.25026600689705,17.40289855235521,0.983131689896192,-0.30168916925545763
1,1,11991,1.12,1.16,35,53.03144981222541,7.265766571352774,0.6599857277884831,-2.481699575006885
1,1,11991,1.16,1.2,8,5.784971105421958,2.4045998427037745,1.3828936833413064,0.9211632036403299
1,1,11991,1.2,1.24,0,0.5168860153241495,0.718930397286157,0.0,-0.7189653091249284
1,1,11991,1.24,1.28,0,0.055815477760587706,0.2362522477198764,0.0,-0.2362537427655205
1,1,11991,1.28,1.32,0,0.007372755555431931,0.08586471058841938,0.0,-0.08586479247303605
1,1,11991,1.32,1.3599999999999999,0,0.0009389771207881648,0.03064273153183581,0.0,-0.030642735612934128
1,1,11991,1.3599999999999999,1.4,0,0.00010508922254837127,0.010251303371714317,0.0,-0.01025130354041969
