zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-22.8,-22.7,0.76,0.8,1,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.8,0.8400000000000001,2,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.8400000000000001,0.8800000000000001,1,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.8800000000000001,0.9199999999999999,3,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.9199999999999999,0.96,6,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,0.96,1.0,3,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.0,1.04,14,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.04,1.08,5,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.08,1.12,1,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.12,1.16,2,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.16,1.2,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.2,1.24,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.24,1.28,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.28,1.32,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.32,1.3599999999999999,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.8,-22.7,1.3599999999999999,1.4,0,38,0.9826121643753073,0.9893718559917893,0.011036706767734548
0,-22.7,-22.6,0.2,0.24000000000000002,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.24000000000000002,0.28,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.28,0.32,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
