zbin,massbin,lower,upper,n_available,n_data,n_random,w_theta,jackknife_sigma,dd,dr,rr,null_reference
0,0,5.450336552463689,8.0,945,945,2835,0.007715619299641405,0.032825932368780904,0.008586673840911128,0.008493976465757771,0.00846660418525862,0.0
0,1,0.08,0.11742394140976554,1949,1949,5847,-0.28483448800981204,0.6809835214160829,2.1071196411996674e-06,2.1060385125997702e-06,1.638310150952142e-06,0.0
0,1,0.11742394140976554,0.17235477520255066,1949,1949,5847,0.42400470406355617,0.4675284698840085,7.3749187441988365e-06,5.001841467424454e-06,4.56386399193811e-06,0.0
0,1,0.17235477520255066,0.25298221281347033,1949,1949,5847,0.8909668404123859,0.2546770386169574,1.3169497757497922e-05,7.107879980024225e-06,9.595816598433974e-06,0.0
0,1,0.25298221281347033,0.37132710668902225,1949,1949,5847,0.5885596985778908,0.19995069794449666,3.0026454887095263e-05,1.9129849822781247e-05,2.001078827234402e-05,0.0
0,1,0.37132710668902225,0.5450336552463688,1949,1949,5847,0.522136873713081,0.14117387760599673,6.426714905658987e-05,4.168201222853712e-05,3.996306546786832e-05,0.0
0,1,0.5450336552463688,0.7999999999999999,1949,1949,5847,0.3850412829305924,0.09673028691822202,0.0001243200588307804,8.880462394795698e-05,8.665490477000436e-05,0.0
0,1,0.7999999999999999,1.174239414097655,1949,1949,5847,0.18831618591006224,0.07805691312381002,0.00022388146187746468,0.00018954346613397931,0.00019121419904684285,0.0
0,1,1.174239414097655,1.7235477520255065,1949,1949,5847,0.1746340675074786,0.08203432866985508,0.0004767358188214248,0.0004106775099569552,0.00041753504418551735,0.0
0,1,1.7235477520255065,2.529822128134703,1949,1949,5847,0.14988029932523725,0.01843285576321404,0.0009935069108256433,0.0008754100084039712,0.0008908311445802272,0.0
0,1,2.529822128134703,3.7132710668902216,1949,1949,5847,0.08836826104998752,0.02895163738407786,0.0020238884153722806,0.0018820086658219697,0.0019088068590897046,0.0
0,1,3.7132710668902216,5.450336552463689,1949,1949,5847,0.006364495532874134,0.01688009939929721,0.004098347702133354,0.004043330689377484,0.004013859869832748,0.0
0,1,5.450336552463689,8.0,1949,1949,5847,0.017673740720845245,0.021895086428464227,0.008638136969098037,0.008490143257127207,0.008492239178537248,0.0
0,2,0.08,0.11742394140976554,390,390,1170,,,3.9549139806209216e-05,0.0,1.4622769113787077e-06,0.0
